00,00,A1,00,00,00,00,A1,00,00,00,00,00
00,W4,00,00,00,00,00,00,00,00,00,A1,R8
00,R9,00,00,00,00,00,00,N0,N0,00,00,A1
00,00,00,A1,00,B5,N0,B1,A1,B1,00,00,00
00,00,00,00,N0,N0,00,00,00,N0,00,00,00
A1,00,N0,R4,00,N0,N0,W2,N0,00,B1,A1,B1
00,N0,N0,00,00,00,A1,00,00,00,00,00,00
00,B1,L7,00,N0,00,00,00,00,00,00,L4,A1
00,00,00,00,00,00,B2,00,L6,00,00,00,00
00,N0,00,00,W5,00,W1,W3,00,00,00,L5,B3
N0,N0,00,00,00,00,00,N0,00,W4,A1,B4,00
00,N0,00,N0,00,W3,00,N0,00,00,00,00,U3
00,00,00,00,A1,00,00,00,00,00,00,L2,SS
