10,07,03,07,09,10,09,04,07,14,07,07,09
08,02,10,09,99,99,10,14,07,13,14,03,01
15,12,11,12,99,99,11,10,99,99,99,09,02
08,10,09,02,12,11,99,11,01,12,14,11,16
12,11,15,00,99,99,09,09,99,99,12,09,16
02,10,99,01,12,99,99,00,99,11,10,16,16
15,99,99,09,10,11,02,12,12,09,15,13,11
12,16,02,08,99,10,99,99,11,12,11,99,02
10,11,12,11,10,11,99,99,02,10,14,11,08
12,99,09,10,00,07,00,00,16,08,12,99,08
10,99,99,08,99,10,16,01,12,00,03,99,11
08,10,09,99,99,01,12,99,10,11,99,99,02
12,11,12,11,04,13,07,11,12,07,13,07,11
